Occupation Title,Description,Alternative Labels,Essential Skills (Skill),Essential Skills (Knowledge),Optional Skills (Skill),Optional Skills (Knowledge)
cloud engineer,"Cloud engineers are responsible for the design, planning, management and maintenance of cloud-based systems. They develop and implement cloud-applications, handle the migration of existing on-premise applications to the cloud, and debug cloud stacks.","hybrid cloud engineer, cloud infrastructure engineer, cloud software engineer, cloud computing engineer, cloud network engineer, cloud solution engineer, cloud security engineer, cloud architect, cloud devops engineer, cloud-native engineer, cloud developer","manage cloud data and storage, design cloud networks, align software with system architectures, develop with cloud services, solve system problems, design database in the cloud, deploy cloud resource, provide technical documentation, do cloud refactoring, respond to incidents in cloud, manage keys for data protection, debug software, develop software prototype, analyse software specifications, design cloud architecture, interpret technical texts, automate cloud tasks, plan migration to cloud, design for organisational complexity, analyse business requirements","system integration, system programming, cloud technologies, cloud security and compliance, SaaS (service-oriented modelling), systems development life-cycle, computer programming, cyber security, systems theory, operating systems, cloud monitoring and reporting, database development tools, implement cloud security and compliance","perform data analysis, use query languages, apply systems theory, design interaction model, apply risk management processes","security standards, Java (computer programming), Ruby (computer programming), ethics, Python (computer programming)"
cloud identity manager,Cloud identity managers work with identity access management's applications. Collaborate with senior management to address key risks in the identity governance. Plan strategies to comply with professional standards,"cloud identity access manager, cloud identity engineer,  cloud identity risk manager","adhere to organisational guidelines, automate cloud tasks, deploy cloud resource, design for organisational complexity, follow company standards, follow work procedures, implement cloud security and compliance, liaise with managers, maintain identity management, manage cloud data and storage, manage digital identity, protect devices","cloud security and compliance, cloud technologies, information governance compliance","design cloud architecture, design cloud networks, design database in the cloud, develop with cloud services, manage IT security compliances","DB2, cloud monitoring and reporting, information security strategy, internal risk management policy"
cloud software developer,"Cloud software developers create, deploy, and modernize software applications to run on the cloud using microservices, containers, and serverless technologies. They develop scalable and highly available applications using cloud architectures and best practices. They incorporate logging and monitoring into their code and are able to perform root cause analysis on failures.","cloud administrator, cloud and infrastructure specialist, cloud consultant, cloud deployment specialist, cloud infrastructure it specialist, cloud solutions specialist, cloud technical specialist, full stack cloud software engineer","automate cloud tasks, define software architecture, deploy cloud resource, design cloud architecture, design cloud networks, design database in the cloud, design for organisational complexity, develop with cloud services, implement cloud security and compliance, manage cloud data and storage","system programming, Java (computer programming), JavaScript, cloud monitoring and reporting, cloud security and compliance, cloud technologies, computer engineering, decentralized application frameworks, integrated development environment software, software frameworks",monitor system performance,"ASP.NET, Eclipse (integrated development environment software), IBM WebSphere, JavaScript Framework, application usability, service-oriented modelling"
computer scientist,"Computer scientists conduct research in computer and information science, directed toward greater knowledge and understanding of fundamental aspects of phenomena. They write research reports and proposals. Computer scientistsÂ also invent and design new approaches to computing technology, find innovative uses for existing technology and studies and solve complex problems in computing.","scientist, computer scientist, IT researcher, science researcher, computers scientist, research scientist, IT research scientist, IT science researcher, researcher, researchers, IT scientist","conduct scholarly research, execute analytical mathematical calculations, conduct research interview, conduct qualitative research, conduct literature research, apply reverse engineering, execute user research activities, synthesise research publications, conduct quantitative research, apply statistical analysis techniques, write research proposals",scientific research methodology,"report analysis results, create solutions to problems, develop professional network, innovate in ICT, perform data mining, process data","SPARQL, LDAP, documentation types, information categorisation, MDX, resource description framework query language, emergent technologies, behavioural science, LINQ, information extraction, N1QL, query languages, business intelligence, innovation processes, data mining, unstructured data, XQuery"
computer vision engineer,"Computer vision engineers research, design, develop, and train artificial intelligence algorithms and machine learning primitives that understand the content of digital images based on a large amount of data. They apply this understanding to solve different real-world problems such as security, autonomous driving, robotic manufacturing, digital image classification, medical image processing and diagnosis, etc.","computer vision applied scientist, computer vision expert, computer vision project engineer, computer vision specialist, smart technics computer vision engineer","apply statistical analysis techniques, conduct literature research, define technical requirements, deliver visual presentation of data, develop computer vision system, develop data processing applications, develop software prototype, establish data processes, execute analytical mathematical calculations, handle data samples, implement data quality processes, interpret current data, manage data collection systems, normalise data, perform data cleansing, perform dimensionality reduction, report analysis results, use software libraries, utilise computer-aided software engineering tools","Python (computer programming), computer programming, computer simulation, data engineering, data science, digital image processing, digital twin technology, image recognition, integrated development environment software, machine learning, principles of artificial intelligence, scientific computing, statistics","conduct qualitative research, conduct quantitative research, conduct scholarly research, create data models, debug software, define data quality criteria, design user interface, perform data mining, use markup languages","cognitive computing, computer graphics, deep learning, digital systems, image formation, mathematical modelling, quantum computing, query languages, resource description framework query language, signal processing, state estimation"
consultant,"consultants provide advice on how to optimise the use of existing tools and systems, make recommendations for the development and implementation of a business project or technological solution and contribute to project definitions. They raise awareness on information technology innovations and their potential value to a business. They also participate in the assessment and choice of solutions.","advisor, IT advisor, ERP consultant, IT consultant, consultants","manage standard enterprise resource planning system, provide consulting advice, analyse software specifications, optimise choice of solution, provide user documentation, monitor system performance, manage project, manage changes in system, create project specifications, solve system problems, keep up with the latest information systems solutions, define technical requirements, manage contracts, identify customer requirements, verify formal specifications, analyse system","visual presentation techniques, legal requirements of products, sales methodologies, system integration","interact with users to gather requirements, manage change request process, keep task records, maintain relationship with customers, identify user needs","software components libraries, copyright legislation, process quality models, Process-based management, project management methodologies, hardware components, emergent technologies, systems development life-cycle, Agile project management, Lean project management"
data analyst,"Data analysts import, inspect, clean, transform, validate, model, or interpret collections of data with regard to the business goals of the company. They ensure that the data sources and repositories provide consistent and reliable data. Data analysts use different algorithms and IT tools as demanded by the situation and the current data. TheyÂ might prepare reports in the form of visualisations such as graphs, charts, and dashboards.","data warehousing analyst, data analysts, data warehouse analyst, data storage analyst","perform data mining, execute analytical mathematical calculations, collect data, analyse big data, perform data cleansing, define data quality criteria, establish data processes, normalise data, handle data samples, integrate data, interpret current data, manage data, apply statistical analysis techniques, implement data quality processes","visual presentation techniques, information structure, data quality assessment, documentation types, data models, statistics, business intelligence, query languages, information categorisation, unstructured data, information confidentiality, information extraction, data mining, resource description framework query language","report analysis results, gather data for forensic purposes, create data models, manage data collection systems, deliver visual presentation of data","online analytical processing, cloud technologies, web analytics, SPARQL, LINQ, data storage, database, information architecture, N1QL, MDX, XQuery, LDAP"
data centre operator,"Data centre operators maintain computer operations within the data centre. They manage daily activities within the centre to solve problems, maintain the system availability, and evaluate the system's performance.","data center administrator, data centre operators, data centre employee","maintain server, maintain database security, maintain database performance, administer system, keep up with the latest information systems solutions, provide technical documentation, develop contingency plans for emergencies, manage database, analyse system, migrate existing data, monitor system performance, balance database resources","database management systems, resource description framework query language, query languages","use different communication channels, create solutions to problems, control of expenses, develop automated migration methods, integrate system components, use ticketing system","ObjectStore, DB2, OpenEdge Database, data storage, business systems, PostgreSQL, SPARQL, SQL Server, database development tools, Teradata Database, World Wide Web Consortium standards, Filemaker (database management systems), Microsoft Access, MDX, data models, LINQ, MySQL, CA Datacom/DB, information confidentiality, IBM Informix, unstructured data, XQuery, N1QL, LDAP"
data engineer,"Data engineers develop the architecture needed to process, manage, and store large amounts of data which will be used by data scientists for analysis. They design the infrastructure and maintain data pipelines and warehouses to leverage data for strategic advantage."," data engineer expert, research data engineer","create data sets, design database in the cloud, develop data processing applications, establish data processes, implement data warehousing techniques, manage data architecture, manage data, manage quantitative data, manage research data, perform dimensionality reduction, process data, store digital data and systems, use data processing techniques, use databases","cloud technologies, computer science, data analytics, data models, data storage, data warehouse, database management systems, digital data processing, unstructured data","analyse pipeline database information, create data models","SAS Data Management, Teradata Database, statistics"
data quality specialist,"Data quality specialists review organisation's data for accuracy, recommend enhancements to record systems and data acquisition processes and assess referential and historical integrity of data. They also develop documents and maintain data quality goals and standards and oversee an organisation's data privacy policy and monitor compliance of data flows against data quality standards.","data quality expert, data integrity officer, data quality officer, data integrity specialist, data quality specialists","utilise regular expressions, manage data, establish data processes, process data, implement data quality processes, address problems critically, design database scheme, perform data cleansing, normalise data, report analysis results, handle data samples, define data quality criteria, manage database, manage standards for data exchange","information structure, query languages, database, resource description framework query language","perform project management, build business relationships, manage schedule of tasks, execute analytical mathematical calculations, perform data analysis, train employees, execute audits","visual presentation techniques, XQuery, N1QL, MDX, SPARQL, data quality assessment, LDAP, statistics, LINQ, business processes"
data scientist,"Data scientists find and interpret rich data sources, manage large amounts of data, merge data sources, ensure consistency of data-sets, and create visualisations to aid in understanding data. They build mathematical models using data, present and communicate data insights and findings to specialists and scientists in their team and if required, to a non-expert audience, and recommend ways to apply the data.","data scientists, data engineer, research data scientist, data expert, data research scientist","perform data cleansing, develop data processing applications, execute analytical mathematical calculations, manage data collection systems, collect data, implement data quality processes, build recommender systems, interpret current data, report analysis results, deliver visual presentation of data, design database scheme, normalise data, handle data samples, establish data processes","online analytical processing, query languages, information categorisation, data models, resource description framework query language, visual presentation techniques, statistics, data mining, information extraction","perform data mining, manage data architecture, manage data, create data models, manage data classification, define data quality criteria, integrate data","unstructured data, data quality assessment, XQuery, LINQ, N1QL, MDX, LDAP, SPARQL, business intelligence"
data warehouse designer,"Data warehouse designers are responsible for planning, connecting, designing, scheduling, and deploying data warehouse systems. They develop, monitor and maintain ETL processes, reporting applications and data warehouse design.","data warehouse architect, data warehouse developer","manage database, write database documentation, define technical requirements, design database scheme, migrate existing data, create database diagrams, create software design, operate relational database management system, develop automated migration methods, create data sets, use markup languages, analyse business requirements, apply systems theory, manage standards for data exchange, assess knowledge","database development tools, query languages, security legislation, resource description framework query language, database, web programming, data warehouse, systems theory, business process modelling, database management systems, information structure","respond to customers' inquiries, develop reporting software, design user interface, apply technical communication skills, define database physical structure, build business relationships, design database backup specifications, perform resource planning, perform data analysis, use access control software","Teradata Database, C#, Prolog (computer programming), Process-based management, Assembly (computer programming), Java (computer programming), unstructured data, PostgreSQL, MDX, JavaScript, PHP, Haskell, Oracle Relational Database, Microsoft Visual C++, ObjectStore, Lean project management, LINQ, Perl, Smalltalk (computer programming), Swift (computer programming), project management methodologies, N1QL, TypeScript, ASP.NET, SQL Server, Microsoft Access, SAS language, MySQL, computer programming, Filemaker (database management systems), LDAP, Lisp, SAP R3, Scratch (computer programming), OpenEdge Database, Erlang, MATLAB, OpenEdge Advanced Business Language, XQuery, IBM Informix, R, data models, AJAX, Ruby (computer programming), VBScript, Groovy, Python (computer programming), Objective-C, product data management, SPARQL, Pascal (computer programming), Agile project management, Common Lisp, COBOL, APL, CA Datacom/DB, ABAP, Scala, DB2, Visual Studio .NET, ML (computer programming), CoffeeScript, C++"
database administrator,"Database administrators test, implement and administer computer databases. They use their expertise in database management systems to plan, coordinate and implement security measures to safeguard computer databases. They also use scripts and configuration files to tailor a database to users' needs.","database manager, DBA, database administrators, data manager, data administrator, database configurator, data base administrator, data base administrators","apply company policies, administer system, maintain database security, define database physical structure, balance database resources, operate relational database management system, maintain database performance, perform backups, design database backup specifications, create data models, perform troubleshooting, manage database, use scripting programming, interpret technical texts, design database scheme","data quality assessment, query languages, system backup best practice, distributed computing, database management systems, data storage, database development tools, data models, information structure, resource description framework query language","provide support, support system users, estimate duration of work, use different communication channels, provide technical training, use automatic programming, execute audits, provide technical documentation","LDAP, OpenEdge Database, MySQL, SPARQL, Filemaker (database management systems), PostgreSQL, Microsoft Access, business intelligence, MDX, N1QL, IBM Informix, online analytical processing, SQL Server, Oracle Relational Database, quality assurance methodologies, ObjectStore, XQuery, LINQ, DB2, Teradata Database"
database designer,"Database designers specify the database's logical structure, processes, and information flows. They design data models and databases to serve data acquisition.","data architect, database designers, data base designers, database architect, data base designer, database design engineer, data model designer","develop automated migration methods, manage standards for data exchange, apply systems theory, perform data analysis, create software design, operate relational database management system, design database scheme, create data sets, write database documentation, assess knowledge, create database diagrams, analyse business requirements, manage database, use markup languages, define technical requirements, migrate existing data","resource description framework query language, systems development life-cycle, information structure, systems theory, database management systems, business process modelling, security legislation, query languages, web programming, database, database development tools","perform resource planning, apply technical communication skills, define database physical structure, use access control software, build business relationships, design database backup specifications","ML (computer programming), COBOL, IBM Informix, PostgreSQL, JavaScript, XQuery, CoffeeScript, computer programming, Oracle Relational Database, Assembly (computer programming), Microsoft Access, MDX, Prolog (computer programming), TypeScript, Visual Studio .NET, C#, SAS language, DB2, Pascal (computer programming), N1QL, MATLAB, ASP.NET, data models, Scratch (computer programming), Swift (computer programming), project management methodologies, SAP R3, Objective-C, Groovy, LDAP, ObjectStore, Teradata Database, SPARQL, Perl, Smalltalk (computer programming), OpenEdge Advanced Business Language, Erlang, Common Lisp, Lisp, Microsoft Visual C++, VBScript, PHP, OpenEdge Database, AJAX, Scala, Python (computer programming), C++, LINQ, SQL Server, unstructured data, Java (computer programming), Ruby (computer programming), CA Datacom/DB, Agile project management, Filemaker (database management systems), ABAP, MySQL, Process-based management, APL, R, Lean project management, Haskell"
database developer,"Database developers program, implement and coordinate changes to computer databases based on their expertise of database management systems.","database developers, data base developer, data base developers, database development engineer, database coder, database design specialist, database programmer","report analysis results, balance database resources, test queries, create data models, identify customer requirements, collect customer feedback on applications, write database documentation, interpret technical texts, perform backups, apply information security policies, estimate duration of work","database development tools, data storage, database management systems, data quality assessment, resource description framework query language, query languages, data extraction, transformation and loading tools","identify security risks, integrate system components, execute audits, perform data mining, manage business knowledge, address problems critically, create solutions to problems, execute integration testing, use software design patterns, execute software tests, verify formal specifications, execute analytical mathematical calculations","C++, SQL Server, LINQ, Haskell, hardware architectures, SAP Data Services, Objective-C, Java (computer programming), SAP R3, Teradata Database, IBM InfoSphere DataStage, DB2, TypeScript, ASP.NET, SPARQL, MySQL, SQL Server Integration Services, CA Datacom/DB, Ruby (computer programming), Microsoft Visual C++, Scala, Lisp, OpenEdge Database, Oracle Data Integrator, QlikView Expressor, IBM Informix, OpenEdge Advanced Business Language, Groovy, Assembly (computer programming), Pascal (computer programming), Oracle Relational Database, infrastructure, Swift (computer programming), ML (computer programming), computer programming, Perl, Erlang, Microsoft Access, Common Lisp, PHP, R, SAS language, Pentaho Data Integration, VBScript, Smalltalk (computer programming), Prolog (computer programming), XQuery, Informatica PowerCenter, CoffeeScript, JavaScript, ABAP, AJAX, COBOL, Visual Studio .NET, Filemaker (database management systems), Oracle Warehouse Builder, Scratch (computer programming), N1QL, PostgreSQL, C#, MATLAB, LDAP, Python (computer programming), APL, MDX, IBM InfoSphere Information Server, power consumption, ObjectStore"
database integrator,Database integrators perform integration among different databases. They maintain integration and ensure interoperability.,"data base integrators, data base integrator, database integrators, data integrator, database development specialist","verify formal specifications, integrate data, manage data, perform data cleansing, implement data warehousing techniques, use interface description language, balance database resources, create database diagrams, execute integration testing, manage legacy implication","information structure, query languages, debugging tools, data extraction, transformation and loading tools, resource description framework query language, database management systems","use scripting programming, perform data mining, create solutions to problems, define data quality criteria, manage semantic integration, define integration strategy, perform project management, execute audits, write database documentation, design application interfaces, apply systems theory","Filemaker (database management systems), SPARQL, Pentaho Data Integration, IBM InfoSphere Information Server, DB2, MySQL, QlikView Expressor, CA Datacom/DB, Oracle Data Integrator, business intelligence, LINQ, Oracle Relational Database, database, systems theory, SAP Data Services, IBM InfoSphere DataStage, SQL Server Integration Services, PostgreSQL, XQuery, LDAP, OpenEdge Database, Informatica PowerCenter, SQL Server, Oracle Warehouse Builder, IBM Informix, Teradata Database, Microsoft Access, MDX, ObjectStore, N1QL, systems development life-cycle"
